[01/Jan/2021 13:41:15] INFO [django.utils.autoreload:617] Watching for file changes with StatReloader
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:304] Waiting for apps ready_event.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:316] Apps ready_event triggered. Sending autoreload_started signal.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir D:\zoomlinks\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir C:\Users\Jakub\Anaconda3\envs\django3\lib\site-packages\livereload\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir D:\zoomlinks\classes\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir D:\zoomlinks\slo3a\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir D:\zoomlinks\accounts\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:270] Watching dir D:\zoomlinks\profiles\locale with glob **/*.mo.
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\template\loader.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\asyncio\windows_utils.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\queue.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\email\policy.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\forms\widgets.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\calendar.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\models\constants.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\threading.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\ctypes\wintypes.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1606860432.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\logging\config.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\_sitebuiltins.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\asyncio\trsock.py first seen with mtime 1607349758.0
[01/Jan/2021 13:41:15] DEBUG [django.utils.autoreload:368] File C:\Users\Jakub\Anaconda3\envs\django3\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1606860432.0
